date,activeUsers,sessions,screenPageViews,newUsers
20260517,266,280,443,262
20260518,214,246,527,209
20260519,188,226,501,179
20260520,202,227,472,196
20260521,435,475,1371,426
20260522,266,303,1061,257
20260523,188,209,330,182
20260524,221,250,941,217
20260525,484,534,1004,471
20260526,262,310,801,252
20260527,291,328,862,278
20260528,230,278,810,216
20260529,180,221,566,165
20260530,120,132,320,113
20260531,142,167,521,135
20260601,324,373,657,310
20260602,315,349,611,299
20260603,309,344,907,293
20260604,388,445,1148,374
20260605,316,364,877,300
20260606,216,229,341,211
20260607,293,326,603,284
20260608,377,420,698,357
20260609,300,364,754,282
20260610,273,318,616,251
20260611,285,323,824,267
20260612,454,509,1042,440
20260613,201,221,416,194
