date,clicks,impressions,ctr,position
2026-05-09,24,1056,0.0227,7.89
2026-05-10,59,1662,0.0355,7.44
2026-05-11,52,1703,0.0305,10.55
2026-05-12,33,1750,0.0189,8.75
2026-05-13,43,1680,0.0256,8.73
2026-05-14,39,1774,0.0220,8.47
2026-05-15,35,1492,0.0235,8.53
2026-05-16,48,1759,0.0273,7.86
2026-05-17,65,2195,0.0296,8.31
2026-05-18,46,1943,0.0237,8.68
2026-05-19,63,1816,0.0347,8.42
2026-05-20,111,3161,0.0351,7.11
2026-05-21,72,2195,0.0328,8.75
2026-05-22,36,1312,0.0274,9.02
2026-05-23,32,1214,0.0264,8.90
2026-05-24,54,1920,0.0281,8.47
2026-05-25,106,3341,0.0317,8.08
2026-05-26,46,1375,0.0335,10.16
2026-05-27,57,1525,0.0374,8.75
2026-05-28,41,1409,0.0291,9.12
2026-05-29,30,1158,0.0259,9.35
2026-05-30,31,1306,0.0237,8.23
2026-05-31,44,2701,0.0163,8.72
2026-06-01,60,2230,0.0269,8.21
2026-06-02,52,1544,0.0337,9.00
2026-06-03,70,1980,0.0354,8.53
