date,clicks,impressions,ctr,position
2026-06-26,47,1973,0.0238,8.61
2026-06-27,68,2121,0.0321,10.21
2026-06-28,89,2928,0.0304,8.15
2026-06-29,103,3181,0.0324,8.26
2026-06-30,113,3272,0.0345,8.48
2026-07-01,128,3523,0.0363,7.84
2026-07-02,97,3173,0.0306,8.08
2026-07-03,63,2167,0.0291,8.19
2026-07-04,92,2511,0.0366,8.11
2026-07-05,139,4127,0.0337,7.94
2026-07-06,123,4029,0.0305,7.97
2026-07-07,129,4071,0.0317,7.85
2026-07-08,100,4010,0.0249,8.06
2026-07-09,151,4659,0.0324,7.31
2026-07-10,61,2959,0.0206,7.91
2026-07-11,57,2729,0.0209,7.94
2026-07-12,122,3649,0.0334,8.23
2026-07-13,192,4416,0.0435,8.54
2026-07-14,123,3765,0.0327,8.25
2026-07-15,151,4547,0.0332,8.09
2026-07-16,117,3399,0.0344,8.10
2026-07-17,123,2725,0.0451,8.35
2026-07-18,113,2875,0.0393,8.37
2026-07-19,96,2873,0.0334,8.26
2026-07-20,132,3683,0.0358,8.03
2026-07-21,119,3545,0.0336,7.93
2026-07-22,126,3606,0.0349,7.99
2026-07-23,183,3932,0.0465,7.84
